faiss_idx,scene,ts_ns,frame_idx,tx,ty,tz,qw,qx,qy,qz
0,seq00,27925386474050,0,0.001714,-0.005375,-0.003107,0.426012804,0.630978685,0.612729791,-0.211993378
1,seq00,27926386475625,1,-0.01063,0.023733,-0.001783,0.419695477,0.639075537,0.604019451,-0.224941478
2,seq00,27927386477250,2,0.019862,0.111955,0.052494,0.621535321,0.343013965,0.689337953,-0.144389929
3,seq00,27928386475962,3,0.146747,0.162943,0.042796,0.599131577,0.358331074,0.69644923,-0.16612846
4,seq00,27929386472925,4,0.199991,0.255696,0.038412,0.578777187,0.38163215,0.701552148,-0.164919537
5,seq00,27930386471462,5,0.203179,0.246728,0.033534,0.5678978,0.393583217,0.701641968,-0.174019793
6,seq00,27931386474800,6,0.189421,0.220065,0.02242,0.551141218,0.409995126,0.710782211,-0.15144637
7,seq00,27932386470587,7,0.216848,0.232619,0.045468,0.588056758,0.373249292,0.687177719,-0.206545391
8,seq00,27933386476175,8,0.220486,0.218982,0.046414,0.58270189,0.388064273,0.678255423,-0.223235767
9,seq00,27934386480800,9,0.13315,0.163663,0.033328,0.583398467,0.345874246,0.70244004,-0.215859271
10,seq00,27935386479375,10,0.166124,0.126503,0.051128,0.585232063,0.379098069,0.693176066,-0.182469254
11,seq00,27936386476212,11,0.195481,0.125488,0.048599,0.585448836,0.378037093,0.691804447,-0.189061427
12,seq00,27937386473925,12,0.246255,0.160688,0.052986,0.602243289,0.360472908,0.674924772,-0.227681478
13,seq00,27938386471125,13,0.258049,0.173917,0.0511,0.600838366,0.362940287,0.671704119,-0.236814658
14,seq00,27939386475750,14,0.27341,0.164901,0.043139,0.581681072,0.388890162,0.676048601,-0.231019181
15,seq00,27940386477250,15,0.275719,0.163237,0.041211,0.573856911,0.395136102,0.679748782,-0.229122892
16,seq00,27941386471875,16,0.282842,0.171146,0.039193,0.578966704,0.374097495,0.684831397,-0.236335731
17,seq00,27942386479712,17,0.17318,0.195005,0.012292,0.551859974,0.358569059,0.737499962,-0.151567165
18,seq00,27943386474675,18,0.355858,0.063429,-0.041515,0.540647849,0.444368529,0.700489787,-0.13982336
19,seq00,27944386480337,19,0.683646,-0.127949,-0.011218,0.521856048,0.494020436,0.674575092,-0.16899266
20,seq00,27945386476125,20,0.962782,-0.42307,-0.020446,0.470638293,0.59228124,0.621987061,-0.202075793
21,seq00,27946386474125,21,1.128624,-0.810332,-0.014208,0.485479037,0.610308812,0.579199319,-0.237405579
22,seq00,27947386474925,22,1.391932,-1.102095,1.8e-05,0.441054597,0.728108436,0.404610178,-0.334095124
23,seq00,27948386479750,23,1.604028,-1.219348,-0.013855,0.409316362,0.76829269,0.31673983,-0.376646171
24,seq00,27949386478750,24,1.67309,-1.296266,-0.026969,0.384070605,0.773805676,0.321349986,-0.387877213
25,seq00,27950386473175,25,1.373526,-1.08655,-0.019783,0.427847116,0.719504179,0.416761169,-0.354359577
26,seq00,27951386477800,26,0.922923,-0.913623,-0.006966,0.460128506,0.709600833,0.401142336,-0.351899476
27,seq00,27952386477300,27,0.495784,-0.680248,-0.002699,0.495948716,0.602774005,0.580075386,-0.23283238
28,seq00,27953386475837,28,0.130339,-0.725764,-0.000245,0.552759961,0.464924338,0.676642645,-0.143026282
29,seq00,27954386471675,29,-0.267439,-0.858674,-0.010698,0.583627184,0.277192558,0.763155943,-0.011687697
30,seq00,27955386479375,30,-0.632664,-1.089176,-0.019813,0.54539436,0.05410333,0.831524691,0.090468287
31,seq00,27956386471675,31,-0.826031,-1.245825,-0.001428,0.545711918,-0.077597671,0.816054095,0.17387587
32,seq00,27957386470962,32,-0.901203,-1.441461,-0.023361,0.524938159,-0.123751227,0.818244831,0.198999898
33,seq00,27958386475712,33,-0.921078,-1.457806,-0.011978,0.519282774,-0.049837661,0.825665221,0.214798862
34,seq00,27959386487337,34,-0.923995,-1.59734,-0.026073,0.480758333,-0.081665933,0.841021743,0.234274473
35,seq00,27960386477462,35,-0.834255,-1.311176,-0.022006,0.51018256,-0.063434891,0.833648498,0.201791851
36,seq00,27961386479125,36,-0.553884,-1.022588,-0.027646,0.538315155,0.016783019,0.820704363,0.190734037
37,seq00,27962386479925,37,-0.231833,-0.860744,0.004577,0.585362527,0.195097911,0.785886213,0.040870238
38,seq00,27963386479125,38,0.015655,-0.764112,-0.022265,0.609930239,0.320771251,0.722382205,-0.057051367
39,seq00,27964386489925,39,0.204937,-0.775107,-0.020391,0.587868048,0.421781168,0.678565918,-0.126728444
